index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
5724;Sylvie;GEOFFROY-MARTIN;femme;;095-02;LFI;;La France Insoumise;https://twitter.com/95Legiscirco2
5725;Mireille;DOMBROWSKI;femme;;095-02;FGR;;Divers extrême gauche;
5726;Éric;CASSAN;homme;;095-02;LO;;Divers extrême gauche;
5727;Nadejda;REMY;femme;;095-02;RN;;Rassemblement National;
5728;Jeson;CAVAIGNAC;homme;;095-02;EXD;;Divers;
5729;Abdelmadjid;DRARI;homme;;095-02;DIV;;Divers;
5730;Guillaume;VUILLETET;homme;checked;095-02;LRM;;Ensemble ! (Majorité présidentielle);
5731;Philippe;CHANZY;homme;;095-02;Reconquête;;Reconquête !;
5732;Laura;BONUCCI;femme;;095-02;EXG;;Divers extrême gauche;
5733;Morgane;FRAPPA;femme;;095-02;Parti animaliste;;Ecologistes;
5734;Pascal;GÉRARD;homme;;095-03;Reconquête;;Reconquête !;
5735;Fabrice;DAVID;homme;;095-03;DVE;;Ecologistes;
5736;Eric;PECQUET;homme;;095-03;Patriotes;;Droite souverainiste;
5737;Carine;PELEGRIN;femme;;095-03;Génération écologie;;Ecologistes;https://twitter.com/CarinePELEGRIN
5738;Véronique;RODAS-PAWLOFF;femme;;095-03;Parti animaliste;;Ecologistes;
5739;Juan;MUNOZ;homme;;095-03;LO;;Divers extrême gauche;
5740;Romana;LAURINI;femme;;095-03;RN;;Rassemblement National;
5741;Cécile;RILHAC;femme;checked;095-03;LRM;;Ensemble ! (Majorité présidentielle);
5742;Sarah;NEROZZI-BANFI;femme;;095-03;LR;;Les Républicains;
5743;Fréderic;GEORJON;homme;;095-04;Reconquête;;Reconquête !;
5744;Karine;LACOUTURE;femme;;095-04;LFI;;La France Insoumise;https://twitter.com/SmithBrVO17
5745;Naïma;MOUTCHOU;femme;checked;095-04;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
5746;Grégory;BERTHAULT;homme;;095-04;DVE;;Ecologistes;
5747;Patrick;BOULLÉ;homme;;095-04;LR;;Les Républicains;
5748;Régis;MACÉ;homme;;095-04;RN;;Rassemblement National;
5749;Cindy;TUCCI;femme;;095-04;Parti animaliste;;Ecologistes;
5750;Marie-Françoise;L'HOMMEDET;femme;;095-04;LO;;Divers extrême gauche;
5751;Alain;POUPARD;homme;;095-04;EXG;;Divers extrême gauche;
5752;Schemsdine;HAROUCH;homme;;095-05;UDMF;;Divers;
